	compound	media	negative	neutral	positive	tweets ago
0	0.2263	@bbc	0.107	0.734	0.158	1
1	0.7351	@bbc	0.0	0.721	0.279	2
2	0.0	@bbc	0.0	1.0	0.0	3
3	0.0	@bbc	0.0	1.0	0.0	4
4	0.0	@bbc	0.0	1.0	0.0	5
5	-0.1531	@bbc	0.074	0.926	0.0	6
6	0.3612	@bbc	0.0	0.898	0.102	7
7	0.0	@bbc	0.0	1.0	0.0	8
8	0.6369	@bbc	0.0	0.682	0.318	9
9	0.4215	@bbc	0.0	0.797	0.203	10
10	0.128	@bbc	0.308	0.359	0.333	11
11	-0.0258	@bbc	0.155	0.695	0.15	12
12	0.5859	@bbc	0.0	0.612	0.388	13
13	0.6369	@bbc	0.0	0.769	0.231	14
14	0.0	@bbc	0.0	1.0	0.0	15
15	0.4019	@bbc	0.0	0.828	0.172	16
16	0.0	@bbc	0.0	1.0	0.0	17
17	0.0	@bbc	0.0	1.0	0.0	18
18	0.0	@bbc	0.0	1.0	0.0	19
19	0.0	@bbc	0.0	1.0	0.0	20
20	0.2263	@bbc	0.107	0.734	0.158	21
21	0.7351	@bbc	0.0	0.721	0.279	22
22	0.0	@bbc	0.0	1.0	0.0	23
23	0.0	@bbc	0.0	1.0	0.0	24
24	0.0	@bbc	0.0	1.0	0.0	25
25	-0.1531	@bbc	0.074	0.926	0.0	26
26	0.3612	@bbc	0.0	0.898	0.102	27
27	0.0	@bbc	0.0	1.0	0.0	28
28	0.6369	@bbc	0.0	0.682	0.318	29
29	0.4215	@bbc	0.0	0.797	0.203	30
30	0.128	@bbc	0.308	0.359	0.333	31
31	-0.0258	@bbc	0.155	0.695	0.15	32
32	0.5859	@bbc	0.0	0.612	0.388	33
33	0.6369	@bbc	0.0	0.769	0.231	34
34	0.0	@bbc	0.0	1.0	0.0	35
35	0.4019	@bbc	0.0	0.828	0.172	36
36	0.0	@bbc	0.0	1.0	0.0	37
37	0.0	@bbc	0.0	1.0	0.0	38
38	0.0	@bbc	0.0	1.0	0.0	39
39	0.0	@bbc	0.0	1.0	0.0	40
40	0.2263	@bbc	0.107	0.734	0.158	41
41	0.7351	@bbc	0.0	0.721	0.279	42
42	0.0	@bbc	0.0	1.0	0.0	43
43	0.0	@bbc	0.0	1.0	0.0	44
44	0.0	@bbc	0.0	1.0	0.0	45
45	-0.1531	@bbc	0.074	0.926	0.0	46
46	0.3612	@bbc	0.0	0.898	0.102	47
47	0.0	@bbc	0.0	1.0	0.0	48
48	0.6369	@bbc	0.0	0.682	0.318	49
49	0.4215	@bbc	0.0	0.797	0.203	50
50	0.128	@bbc	0.308	0.359	0.333	51
51	-0.0258	@bbc	0.155	0.695	0.15	52
52	0.5859	@bbc	0.0	0.612	0.388	53
53	0.6369	@bbc	0.0	0.769	0.231	54
